direction	caller	callee
SERVICE_TO_MAIN	recover_rfb_connection	set_live_encoding
SERVICE_TO_MAIN	recover_rfb_connection	set_raw_encoding
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	ethGetNetIFLinkStatus
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	probe_extended_desktop_size
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	receive_framebuffer_update
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	request_framebuffer
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	reset_rfb_transport_state
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	rfb_connect_and_handshake_limited
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	set_gs555_pixel_format
SERVICE_TO_MAIN	recover_rfb_transport_for_display_rollback	set_raw_encoding
SERVICE_TO_MAIN	run_screen_fit_calibration	screenf
SERVICE_TO_MAIN	screen_fit_draw_char	osk_find_glyph
SERVICE_TO_MAIN	screen_fit_draw_x	ps2vnc_display_output_x
SERVICE_TO_MAIN	screen_fit_draw_y	ps2vnc_display_output_y
MAIN_TO_SERVICE	update_hires_background_region	ps2vnc_display_wait_presentation_memory_idle
