object	nm_symbol	canonical_symbol	occurrence_count	locations
ps2vnc_runtime.o	desktop_width	desktop_width	86	ps2vnc_calibration_core.inc:515,ps2vnc_calibration_core.inc:525,ps2vnc_calibration_core.inc:568,ps2vnc_calibration_core.inc:573,ps2vnc_calibration_core.inc:597,ps2vnc_calibration_core.inc:624,ps2vnc_calibration_core.inc:631,ps2vnc_calibration_core.inc:643,ps2vnc_calibration_core.inc:659,ps2vnc_calibration_core.inc:668,ps2vnc_calibration_core.inc:1507,ps2vnc_calibration_tail.inc:458,ps2vnc_calibration_tail.inc:465,ps2vnc_calibration_tail.inc:874,ps2vnc_calibration_tail.inc:904,ps2vnc_calibration_tail.inc:920,ps2vnc_calibration_tail.inc:986,ps2vnc_calibration_tail.inc:988,ps2vnc_calibration_tail.inc:1510,ps2vnc_calibration_tail.inc:1516,ps2vnc_calibration_tail.inc:1584,ps2vnc_display_core.inc:80,ps2vnc_display_core.inc:94,ps2vnc_display_core.inc:520,ps2vnc_display_tail.inc:99,ps2vnc_display_tail.inc:118,ps2vnc_framebuffer_core.inc:49,ps2vnc_framebuffer_core.inc:50,ps2vnc_framebuffer_core.inc:120,ps2vnc_framebuffer_core.inc:161,ps2vnc_framebuffer_core.inc:172,ps2vnc_framebuffer_core.inc:774,ps2vnc_framebuffer_core.inc:811,ps2vnc_framebuffer_core.inc:897,ps2vnc_framebuffer_core.inc:901,ps2vnc_framebuffer_core.inc:928,ps2vnc_framebuffer_core.inc:933,ps2vnc_framebuffer_core.inc:1020,ps2vnc_framebuffer_core.inc:1120,ps2vnc_framebuffer_core.inc:1170,ps2vnc_framebuffer_core.inc:1219,ps2vnc_framebuffer_tail.inc:160,ps2vnc_framebuffer_tail.inc:166,ps2vnc_framebuffer_tail.inc:201,ps2vnc_framebuffer_tail.inc:268,ps2vnc_framebuffer_tail.inc:284,ps2vnc_framebuffer_tail.inc:288,ps2vnc_framebuffer_tail.inc:289,ps2vnc_framebuffer_tail.inc:306,ps2vnc_framebuffer_tail.inc:372,ps2vnc_framebuffer_tail.inc:402,ps2vnc_framebuffer_tail.inc:414,ps2vnc_framebuffer_tail.inc:654,ps2vnc_framebuffer_tail.inc:728,ps2vnc_framebuffer_tail.inc:733,ps2vnc_framebuffer_tail.inc:757,ps2vnc_framebuffer_tail.inc:840,ps2vnc_framebuffer_tail.inc:846,ps2vnc_framebuffer_tail.inc:868,ps2vnc_framebuffer_tail.inc:874,ps2vnc_framebuffer_tail.inc:1018,ps2vnc_framebuffer_tail.inc:1073,ps2vnc_framebuffer_tail.inc:1080,ps2vnc_framebuffer_tail.inc:1113,ps2vnc_framebuffer_tail.inc:1118,ps2vnc_framebuffer_tail.inc:1133,ps2vnc_framebuffer_tail.inc:1141,ps2vnc_framebuffer_tail.inc:1171,ps2vnc_framebuffer_tail.inc:1184,ps2vnc_framebuffer_tail.inc:1213,ps2vnc_management_core.inc:236,ps2vnc_management_core.inc:299,ps2vnc_management_core.inc:341,ps2vnc_management_core.inc:354,ps2vnc_management_core.inc:395,ps2vnc_management_tail.inc:74,ps2vnc_runtime_core.inc:259,ps2vnc_runtime_tail.inc:215,ps2vnc_runtime_tail.inc:689,ps2vnc_runtime_tail.inc:694,ps2vnc_runtime_tail.inc:705,ps2vnc_services_imports.h:20,ps2vnc_ui_core.inc:1181,ps2vnc_ui_tail.inc:4,ps2vnc_ui_tail.inc:1370,ps2vnc_ui_tail.inc:1371
ps2vnc_runtime.o	display_calibration_request	display_calibration_request	9	ps2vnc_display_core.inc:1007,ps2vnc_display_tail.inc:371,ps2vnc_display_tail.inc:372,ps2vnc_display_tail.inc:375,ps2vnc_runtime_core.inc:834,ps2vnc_runtime_core_to_tail.h:139,ps2vnc_runtime_tail.inc:113,ps2vnc_runtime_to_ui_display.h:264,ps2vnc_ui_tail.inc:946
ps2vnc_runtime.o	display_confirm_action	display_confirm_action	30	ps2vnc_display_core.inc:449,ps2vnc_display_core.inc:898,ps2vnc_display_core.inc:924,ps2vnc_display_core.inc:1089,ps2vnc_display_tail.inc:425,ps2vnc_display_tail.inc:442,ps2vnc_display_tail.inc:465,ps2vnc_display_tail.inc:766,ps2vnc_display_tail.inc:824,ps2vnc_display_tail.inc:885,ps2vnc_display_tail.inc:890,ps2vnc_display_tail.inc:1172,ps2vnc_display_tail.inc:1174,ps2vnc_display_tail.inc:1307,ps2vnc_display_tail.inc:1312,ps2vnc_runtime_core.inc:959,ps2vnc_runtime_core.inc:1479,ps2vnc_runtime_core.inc:1549,ps2vnc_runtime_core_to_tail.h:140,ps2vnc_runtime_tail.inc:231,ps2vnc_runtime_tail.inc:246,ps2vnc_runtime_to_ui_display.h:266,ps2vnc_ui_tail.inc:500,ps2vnc_ui_tail.inc:519,ps2vnc_ui_tail.inc:522,ps2vnc_ui_tail.inc:601,ps2vnc_ui_tail.inc:620,ps2vnc_ui_tail.inc:625,ps2vnc_ui_tail.inc:633,ps2vnc_ui_tail.inc:638
ps2vnc_runtime.o	display_confirm_pending	display_confirm_pending	20	ps2vnc_display_core.inc:436,ps2vnc_display_core.inc:897,ps2vnc_display_core.inc:1003,ps2vnc_display_tail.inc:424,ps2vnc_display_tail.inc:464,ps2vnc_display_tail.inc:1171,ps2vnc_display_tail.inc:1255,ps2vnc_display_tail.inc:1306,ps2vnc_runtime_core.inc:955,ps2vnc_runtime_core.inc:1477,ps2vnc_runtime_core.inc:1547,ps2vnc_runtime_core_to_tail.h:141,ps2vnc_runtime_tail.inc:110,ps2vnc_runtime_tail.inc:236,ps2vnc_runtime_tail.inc:243,ps2vnc_runtime_tail.inc:299,ps2vnc_runtime_to_ui_display.h:268,ps2vnc_ui_tail.inc:499,ps2vnc_ui_tail.inc:518,ps2vnc_ui_tail.inc:577
ps2vnc_runtime.o	display_confirm_previous_backend	display_confirm_previous_backend	6	ps2vnc_display_core.inc:407,ps2vnc_runtime_core.inc:977,ps2vnc_runtime_core_to_tail.h:142,ps2vnc_runtime_tail.inc:210,ps2vnc_runtime_tail.inc:248,ps2vnc_runtime_to_ui_display.h:270
ps2vnc_runtime.o	display_confirm_previous_desktop_h	display_confirm_previous_desktop_h	6	ps2vnc_display_core.inc:421,ps2vnc_runtime_core.inc:976,ps2vnc_runtime_core_to_tail.h:143,ps2vnc_runtime_tail.inc:216,ps2vnc_runtime_tail.inc:254,ps2vnc_runtime_to_ui_display.h:272
ps2vnc_runtime.o	display_confirm_previous_desktop_w	display_confirm_previous_desktop_w	6	ps2vnc_display_core.inc:419,ps2vnc_runtime_core.inc:975,ps2vnc_runtime_core_to_tail.h:144,ps2vnc_runtime_tail.inc:215,ps2vnc_runtime_tail.inc:253,ps2vnc_runtime_to_ui_display.h:274
ps2vnc_runtime.o	display_confirm_previous_h	display_confirm_previous_h	6	ps2vnc_display_core.inc:416,ps2vnc_runtime_core.inc:974,ps2vnc_runtime_core_to_tail.h:145,ps2vnc_runtime_tail.inc:214,ps2vnc_runtime_tail.inc:252,ps2vnc_runtime_to_ui_display.h:276
ps2vnc_runtime.o	display_confirm_previous_mode	display_confirm_previous_mode	10	ps2vnc_display_core.inc:404,ps2vnc_display_core.inc:1227,ps2vnc_display_core.inc:1228,ps2vnc_runtime_core.inc:970,ps2vnc_runtime_core_to_tail.h:146,ps2vnc_runtime_tail.inc:209,ps2vnc_runtime_tail.inc:247,ps2vnc_runtime_to_ui_display.h:278,ps2vnc_ui_core.inc:20,ps2vnc_ui_core.inc:21
ps2vnc_runtime.o	display_confirm_previous_screen_fit_full_bypass	display_confirm_previous_screen_fit_full_bypass	6	ps2vnc_display_core.inc:432,ps2vnc_runtime_core.inc:991,ps2vnc_runtime_core_to_tail.h:147,ps2vnc_runtime_tail.inc:226,ps2vnc_runtime_tail.inc:260,ps2vnc_runtime_to_ui_display.h:280
