RECEIVER_START	receive_epoch_ms=1788142714770	receive_monotonic_ns=40818349942098	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788142801061	receive_monotonic_ns=40904640990110	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=372 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142801353	receive_monotonic_ns=40904933174605	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=389 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142801651	receive_monotonic_ns=40905230726828	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=407 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142801948	receive_monotonic_ns=40905527954702	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=425 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142802240	receive_monotonic_ns=40905820099475	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=442 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142802537	receive_monotonic_ns=40906117554717	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=460 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142802830	receive_monotonic_ns=40906410573838	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=477 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142803128	receive_monotonic_ns=40906707720100	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=495 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142803425	receive_monotonic_ns=40907005379416	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=513 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142803718	receive_monotonic_ns=40907298565517	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=530 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142804015	receive_monotonic_ns=40907595471151	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=548 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
