file	line	function	classification	mutable_state_refs	calibration_refs	platform_refs	rfb_refs	ui_refs
working/b4a/ps2vnc_calibration_tail.inc	878	ps2vnc_reconfigure_current_desktop_hires	STATEFUL_GEOMETRY	active_display_backend,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height,desktop_geometry_locked	YES	YES	YES	NO
working/b4a/ps2vnc_calibration_tail.inc	967	ps2vnc_reconfigure_current_desktop_standard	STATEFUL_GEOMETRY	active_video_mode,active_display_backend,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height,desktop_geometry_locked	NO	NO	YES	NO
working/b4a/ps2vnc_calibration_tail.inc	1018	ps2vnc_run_runtime_calibration	STATEFUL_GEOMETRY	active_display_backend	YES	YES	YES	YES
working/b4a/ps2vnc_calibration_tail.inc	1183	ps2vnc_display_create_standard	STATEFUL_GEOMETRY	active_video_mode	YES	YES	YES	NO
working/b4a/ps2vnc_calibration_tail.inc	1502	ps2vnc_display_prepare_desktop_standard	STATEFUL_GEOMETRY	desktop_width,desktop_height	NO	YES	NO	NO
working/b4a/ps2vnc_calibration_tail.inc	1567	ps2vnc_display_draw_desktop	STATEFUL_GEOMETRY	active_display_backend,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height	NO	YES	NO	NO
working/b4a/ps2vnc_display_core.inc	1	ps2vnc_switch_display_mode_core	STATEFUL_GEOMETRY	active_video_mode,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height,desktop_geometry_locked	NO	YES	YES	NO
working/b4a/ps2vnc_display_core.inc	394	ps2vnc_rollback_display_transaction	STATEFUL_GEOMETRY	active_video_mode,active_display_backend,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height	NO	YES	YES	NO
working/b4a/ps2vnc_display_core.inc	931	ps2vnc_remote_control_poll_idle	STATEFUL_GEOMETRY	active_video_mode	YES	NO	NO	YES
working/b4a/ps2vnc_display_tail.inc	1	display_live_desktop	STATEFUL_GEOMETRY	active_video_mode,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height,desktop_geometry_locked	YES	YES	YES	YES
working/b4a/ps2vnc_framebuffer_core.inc	43	request_framebuffer	STATEFUL_GEOMETRY	desktop_width,desktop_height	NO	NO	YES	NO
working/b4a/ps2vnc_framebuffer_core.inc	108	hextile_fill_rect	STATEFUL_GEOMETRY	desktop_width	NO	YES	YES	NO
working/b4a/ps2vnc_framebuffer_core.inc	146	hextile_recv_raw_tile	STATEFUL_GEOMETRY	desktop_width	NO	YES	YES	NO
working/b4a/ps2vnc_framebuffer_core.inc	392	receive_framebuffer_update	STATEFUL_GEOMETRY	desktop_width,desktop_height	YES	YES	YES	NO
