RECEIVER_START	receive_epoch_ms=1788139811418	receive_monotonic_ns=37914997711728	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788139909290	receive_monotonic_ns=38012870161402	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=372 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139909583	receive_monotonic_ns=38013163064158	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=389 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139909883	receive_monotonic_ns=38013462694724	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=407 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139910180	receive_monotonic_ns=38013760550463	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=425 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139910473	receive_monotonic_ns=38014053534477	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=442 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139910771	receive_monotonic_ns=38014351204031	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=460 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139911064	receive_monotonic_ns=38014644139750	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=477 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139911362	receive_monotonic_ns=38014941696359	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=495 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139911659	receive_monotonic_ns=38015239623059	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=513 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139911952	receive_monotonic_ns=38015532479777	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=530 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
