file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_calibration_tail.inc	1253	1270	ps2vnc_display_release_ee_buffers	0		
working/b4a/ps2vnc_calibration_tail.inc	1272	1282	ps2vnc_display_destroy_hires	0	GS_TRANSPORT	gsKit_hires_deinit_global,gsKit_hires_sync,ps2vnc_display_release_ee_buffers
working/b4a/ps2vnc_calibration_tail.inc	1284	1294	ps2vnc_display_destroy_standard	0	GS_TRANSPORT	
working/b4a/ps2vnc_calibration_tail.inc	1299	1320	ps2vnc_display_wait_presentation_memory_idle	0	DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_sync
working/b4a/ps2vnc_calibration_tail.inc	1325	1345	ps2vnc_display_wait_texture_idle	0	DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_sync
working/b4a/ps2vnc_calibration_tail.inc	1353	1369	ps2vnc_display_finish_draw	0	DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_sync
working/b4a/ps2vnc_calibration_tail.inc	1377	1393	ps2vnc_display_flip	0	DISPLAY_MODE,GS_TRANSPORT	gsKit_hires_flip
working/b4a/ps2vnc_calibration_tail.inc	1395	1415	ps2vnc_display_destroy	0	DISPLAY_MODE,GS_TRANSPORT	ps2vnc_display_destroy_hires,ps2vnc_display_destroy_standard
working/b4a/ps2vnc_calibration_tail.inc	1418	1480	ps2vnc_display_prepare_desktop_hires	1	DIMENSIONS,GS_TRANSPORT	ps2vnc_display_release_ee_buffers,ps2vnc_hires_requires_raster_mapping,ps2vnc_hires_storage_bytes,ps2vnc_hires_storage_height,ps2vnc_hires_storage_width,publish_hires_background
working/b4a/ps2vnc_calibration_tail.inc	1487	1521	ps2vnc_display_prepare_desktop_standard	1	DIMENSIONS,FRAMEBUFFER_RFB,GS_TRANSPORT	
working/b4a/ps2vnc_calibration_tail.inc	1526	1540	ps2vnc_display_prepare_desktop	0	DISPLAY_MODE,GS_TRANSPORT	ps2vnc_display_prepare_desktop_hires,ps2vnc_display_prepare_desktop_standard
working/b4a/ps2vnc_calibration_tail.inc	1552	1596	ps2vnc_display_draw_desktop	1	DIMENSIONS,DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	ps2vnc_display_output_x,ps2vnc_display_output_y
working/b4a/ps2vnc_calibration_tail.inc	1598	1613	ps2vnc_display_prepare_osk	1	DIMENSIONS,GS_TRANSPORT	
working/b4a/ps2vnc_display_core.inc	1	154	ps2vnc_switch_display_mode_core	1	DIMENSIONS,DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	debug_emit_geometry_snapshot,flush_rfb_outgoing,ps2vnc_display_create,ps2vnc_display_destroy,ps2vnc_display_direct_write_cancel,ps2vnc_display_logical_desktop_size,ps2vnc_display_prepare_desktop,ps2vnc_display_prepare_osk,receive_framebuffer_update,region_fits_u32,request_and_confirm_desktop_size,request_framebuffer,set_live_encoding,set_raw_encoding,set_raw_extended_desktop_encoding
working/b4a/ps2vnc_display_core.inc	179	385	ps2vnc_switch_display_mode	1	DIMENSIONS,FRAMEBUFFER_RFB,GS_TRANSPORT,UI	debug_emit_now,draw_recovery_status,ps2vnc_controller_pad_acquire,ps2vnc_controller_pad_release,ps2vnc_discard_controller_rfb_queue,ps2vnc_display_draw_desktop,ps2vnc_display_finish_draw,ps2vnc_display_flip,ps2vnc_switch_display_mode_core
working/b4a/ps2vnc_display_core.inc	394	542	ps2vnc_rollback_display_transaction	0	DISPLAY_MODE,FRAMEBUFFER_RFB,CALIBRATION,GS_TRANSPORT	display_confirm_disarm_transaction,ps2vnc_switch_display_mode,recover_rfb_transport_for_display_rollback,reset_rfb_transport_state,screen_fit_apply_preset
working/b4a/ps2vnc_display_core.inc	562	581	ps2vnc_publish_restored_ack	0	DISPLAY_MODE	screenf
working/b4a/ps2vnc_display_core.inc	598	724	ps2vnc_startup_finalize_display_transaction	0		ps2vnc_display_profile_capture_active,ps2vnc_display_transaction_commit_to_pi,ps2vnc_display_transaction_restored_to_pi,ps2vnc_display_tx_profiles_equal,ps2vnc_publish_restored_ack,screenf
working/b4a/ps2vnc_display_core.inc	728	780	ps2vnc_remote_control_get_value	0		
working/b4a/ps2vnc_display_core.inc	783	811	ps2vnc_remote_control_get_u32	0		ps2vnc_remote_control_get_value
working/b4a/ps2vnc_display_core.inc	814	858	ps2vnc_remote_result_post	0	DISPLAY_MODE	ps2vnc_management_post_text
working/b4a/ps2vnc_display_core.inc	861	874	ps2vnc_remote_display_reset	0		
working/b4a/ps2vnc_display_core.inc	877	887	ps2vnc_remote_display_fail	0		ps2vnc_remote_display_reset,ps2vnc_remote_result_post
working/b4a/ps2vnc_display_core.inc	890	928	ps2vnc_remote_display_lease_expired	0		ps2vnc_remote_result_post,screenf
working/b4a/ps2vnc_display_core.inc	931	1100	ps2vnc_remote_control_poll_idle	0	DISPLAY_MODE	display_menu_selection_for_mode,display_mode_request_for_selection,profile_ticks_us,ps2vnc_management_get_bounded_quiet,ps2vnc_remote_control_get_u32,ps2vnc_remote_control_get_value,ps2vnc_remote_display_fail,ps2vnc_remote_result_post,pstvnc_video_mode_by_name,screenf
working/b4a/ps2vnc_display_core.inc	1103	1232	ps2vnc_global_rollback_display_transaction	0	DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	ps2vnc_display_transaction_ack_to_pi,ps2vnc_display_transaction_restore_to_pi,ps2vnc_display_transaction_restored_to_pi,ps2vnc_publish_restored_ack,ps2vnc_remote_display_reset,ps2vnc_remote_result_post,ps2vnc_rollback_display_transaction,screenf
working/b4a/ps2vnc_display_tail.inc	1	1449	display_live_desktop	2	SCALING_ASPECT,MAPPING,DISPLAY_MODE,FRAMEBUFFER_RFB,CALIBRATION,GS_TRANSPORT	calculate_presented_desktop_geometry,debug_emit_geometry_snapshot,debug_emit_now,display_confirm_arm_transaction,display_confirm_disarm_transaction,display_confirm_remaining_seconds,display_confirm_render_bitmap,display_confirm_return_to_active_menu,display_menu_normalize_selection,display_menu_render_bitmap,display_menu_selection_for_mode,display_menu_tab_for_mode,display_mode_request_target,display_restore_ack_render_bitmap,osk_render_bitmap,perform_manual_rfb_recovery,profile_emit_now,ps2vnc_config_apply_display,ps2vnc_config_get_display_for_mode,ps2vnc_config_presented_geometry_for_mode,ps2vnc_display_begin_update,ps2vnc_display_commit_update,ps2vnc_display_create,ps2vnc_display_direct_write_cancel,ps2vnc_display_draw_desktop,ps2vnc_display_finish_draw,ps2vnc_display_finish_update_decode,ps2vnc_display_flip,ps2vnc_display_logical_desktop_size,ps2vnc_display_output_x,ps2vnc_display_output_y,ps2vnc_display_policy_hide_to_pi,ps2vnc_display_policy_lock_to_pi,ps2vnc_display_policy_refresh_from_pi,ps2vnc_display_prepare_desktop,ps2vnc_display_prepare_osk,ps2vnc_display_profile_capture_active,ps2vnc_display_profile_resolve_candidate,ps2vnc_display_transaction_ack_to_pi,ps2vnc_display_transaction_begin_to_pi,ps2vnc_display_transaction_commit_to_pi,ps2vnc_display_wait_presentation_memory_idle,ps2vnc_display_wait_texture_idle,ps2vnc_global_rollback_display_transaction,ps2vnc_remote_control_poll_idle,ps2vnc_remote_display_fail,ps2vnc_remote_display_lease_expired,ps2vnc_remote_result_post,ps2vnc_run_runtime_calibration,ps2vnc_startup_finalize_display_transaction,ps2vnc_switch_display_mode,receive_framebuffer_update,recover_rfb_connection,region_fits_u32,request_and_confirm_desktop_size,request_framebuffer,run_screen_fit_calibration,screenf,set_live_encoding,set_raw_encoding,start_controller_thread,system_menu_render_bitmap
working/b4a/ps2vnc_display_tail.inc	1451	1690	main	0	FRAMEBUFFER_RFB,GS_TRANSPORT	debug_emit_now,debug_udp_init,display_live_desktop,ethWaitValidNetIFLinkState,ps2vnc_config_load_from_pi,ps2vnc_display_transaction_startup_preflight,ps2vnc_startup_apply_authoritative_profile,ps2vnc_startup_connect_reconciled,ps2vnc_startup_prepare_display_transaction,screenf,startup_force_calibration_requested,wait_pad_ready_after_mode_change
working/b4a/ps2vnc_framebuffer_core.inc	2	41	start_controller_thread	0	FRAMEBUFFER_RFB	
working/b4a/ps2vnc_framebuffer_core.inc	43	68	request_framebuffer	0	FRAMEBUFFER_RFB	flush_rfb_outgoing,send_exact
working/b4a/ps2vnc_framebuffer_core.inc	74	77	rfb_gs555_to_gs16	0	FRAMEBUFFER_RFB	
working/b4a/ps2vnc_framebuffer_core.inc	79	97	hextile_store_pixel	0	FRAMEBUFFER_RFB,GS_TRANSPORT	rfb_gs555_to_gs16
